PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare 
25,0.0,3,Palsson, Miss. Torborg Danira,female,8.0,3,1,349909,21.075 
26,1.0,3,Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson),female,38.0,1,5,347077,31.3875 
27,0.0,3,Emir, Mr. Farred Chehab,male,,0,0,2631,7.225 
28,0.0,1,Fortune, Mr. Charles Alexander,male,19.0,3,2,19950,263.0 
29,1.0,3,O'Dwyer, Miss. Ellen "Nellie",female,,0,0,330959,7.8792 
30,0.0,3,Todoroff, Mr. Lalio,male,,0,0,349216,7.8958 
31,0.0,1,Uruchurtu, Don. Manuel E,male,40.0,0,0,PC 17601,27.7208 
32,1.0,1,Spencer, Mrs. William Augustus (Marie Eugenie),female,,1,0,PC 17569,146.5208 
33,1.0,3,Glynn, Miss. Mary Agatha,female,,0,0,335677,7.75 
34,0.0,2,Wheadon, Mr. Edward H,male,66.0,0,0,C.A. 24579,10.5 
35,0.0,1,Meyer, Mr. Edgar Joseph,male,28.0,1,0,PC 17604,82.1708 
36,0.0,1,Holverson, Mr. Alexander Oskar,male,42.0,1,0,113789,52.0 
37,1.0,3,Mamee, Mr. Hanna,male,,0,0,2677,7.2292 
38,0.0,3,Cann, Mr. Ernest Charles,male,21.0,0,0,A./5. 2152,8.05 
39,0.0,3,Vander Planke, Miss. Augusta Maria,female,18.0,2,0,345764,18.0 
40,1.0,3,Nicola-Yarred, Miss. Jamila,female,14.0,1,0,2651,11.2417 
41,0.0,3,Ahlin, Mrs. Johan (Johanna Persdotter Larsson),female,40.0,1,0,7546,9.475 
42,0.0,2,Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott),female,27.0,1,0,11668,21.0 
43,0.0,3,Kraeff, Mr. Theodor,male,,0,0,349253,7.8958 
44,1.0,2,Laroche, Miss. Simonne Marie Anne Andree,female,3.0,1,2,SC/Paris 2123,41.5792 
45,1.0,3,Devaney, Miss. Margaret Delia,female,19.0,0,0,330958,7.8792 
46,0.0,3,Rogers, Mr. William John,male,,0,0,S.C./A.4. 23567,8.05 
47,0.0,3,Lennon, Mr. Denis,male,,1,0,370371,15.5 
48,1.0,3,O'Driscoll, Miss. Bridget,female,,0,0,14311,7.75 
49,0.0,3,Samaan, Mr. Youssef,male,,2,0,2662,21.6792 
50,0.0,3,Arnold-Franchi, Mrs. Josef (Josefine Franchi),female,18.0,1,0,349237,17.8 
51,0.0,3,Panula, Master. Juha Niilo,male,7.0,4,1,3101295,39.6875 
52,0.0,3,Nosworthy, Mr. Richard Cater,male,21.0,0,0,A/4. 39886,7.8 
53,1.0,1,Harper, Mrs. Henry Sleeper (Myna Haxtun),female,49.0,1,0,PC 17572,76.7292 
54,1.0,2,Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson),female,29.0,1,0,2926,26.0 
55,0.0,1,Ostby, Mr. Engelhart Cornelius,male,65.0,0,1,113509,61.9792 
56,1.0,1,Woolner, Mr. Hugh,male,,0,0,19947,35.5 
57,1.0,2,Rugg, Miss. Emily,female,21.0,0,0,C.A. 31026,10.5 
58,0.0,3,Novel, Mr. Mansouer,male,28.5,0,0,2697,7.2292 
59,1.0,2,West, Miss. Constance Mirium,female,5.0,1,2,C.A. 34651,27.75 
60,0.0,3,Goodwin, Master. William Frederick,male,11.0,5,2,CA 2144,46.9 
61,0.0,3,Sirayanian, Mr. Orsen,male,22.0,0,0,2669,7.2292 
62,1.0,1,Icard, Miss. Amelie,female,38.0,0,0,113572,80.0 
63,0.0,1,Harris, Mr. Henry Birkhardt,male,45.0,1,0,36973,83.475 
64,0.0,3,Skoog, Master. Harald,male,4.0,3,2,347088,27.9 
65,0.0,1,Stewart, Mr. Albert A,male,,0,0,PC 17605,27.7208 
66,1.0,3,Moubarek, Master. Gerios,male,,1,1,2661,15.2458 
67,1.0,2,Nye, Mrs. (Elizabeth Ramell),female,29.0,0,0,C.A. 29395,10.5 
68,0.0,3,Crease, Mr. Ernest James,male,19.0,0,0,S.P. 3464,8.1583 
69,1.0,3,Andersson, Miss. Erna Alexandra,female,17.0,4,2,3101281,7.925 
70,0.0,3,Kink, Mr. Vincenz,male,26.0,2,0,315151,8.6625 
71,0.0,2,Jenkin, Mr. Stephen Curnow,male,32.0,0,0,C.A. 33111,10.5 
72,0.0,3,Goodwin, Miss. Lillian Amy,female,16.0,5,2,CA 2144,46.9 
73,0.0,2,Hood, Mr. Ambrose Jr,male,21.0,0,0,S.O.C. 14879,73.5 
74,0.0,3,Chronopoulos, Mr. Apostolos,male,26.0,1,0,2680,14.4542 
75,1.0,3,Bing, Mr. Lee,male,32.0,0,0,1601,56.4958 
76,0.0,3,Moen, Mr. Sigurd Hansen,male,25.0,0,0,348123,7.65 
77,0.0,3,Staneff, Mr. Ivan,male,,0,0,349208,7.8958 
78,0.0,3,Moutal, Mr. Rahamin Haim,male,,0,0,374746,8.05 
79,1.0,2,Caldwell, Master. Alden Gates,male,0.83,0,2,248738,29.0 
80,1.0,3,Dowdell, Miss. Elizabeth,female,30.0,0,0,364516,12.475 
81,0.0,3,Waelens, Mr. Achille,male,22.0,0,0,345767,9.0 
82,1.0,3,Sheerlinck, Mr. Jan Baptist,male,29.0,0,0,345779,9.5 
83,1.0,3,McDermott, Miss. Brigdet Delia,female,,0,0,330932,7.7875 
84,0.0,1,Carrau, Mr. Francisco M,male,28.0,0,0,113059,47.1 
85,1.0,2,Ilett, Miss. Bertha,female,17.0,0,0,SO/C 14885,10.5 
86,1.0,3,Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson),female,33.0,3,0,3101278,15.85 
87,0.0,3,Ford, Mr. William Neal,male,16.0,1,3,W./C. 6608,34.375 
88,0.0,3,Slocovski, Mr. Selman Francis,male,,0,0,SOTON/OQ 392086,8.05 
89,1.0,1,Fortune, Miss. Mabel Helen,female,23.0,3,2,19950,263.0 
90,0.0,3,Celotti, Mr. Francesco,male,24.0,0,0,343275,8.05 
91,0.0,3,Christmann, Mr. Emil,male,29.0,0,0,343276,8.05 
92,0.0,3,Andreasson, Mr. Paul Edvin,male,20.0,0,0,347466,7.8542 
93,0.0,1,Chaffee, Mr. Herbert Fuller,male,46.0,1,0,W.E.P. 5734,61.175 
94,0.0,3,Dean, Mr. Bertram Frank,male,26.0,1,2,C.A. 2315,20.575 
95,0.0,3,Coxon, Mr. Daniel,male,59.0,0,0,364500,7.25 
96,0.0,3,Shorney, Mr. Charles Joseph,male,,0,0,374910,8.05 
97,0.0,1,Goldschmidt, Mr. George B,male,71.0,0,0,PC 17754,34.6542 
98,1.0,1,Greenfield, Mr. William Bertram,male,23.0,0,1,PC 17759,63.3583 
99,1.0,2,Doling, Mrs. John T (Ada Julia Bone),female,34.0,0,1,231919,23.0 
